year,month,month_name,n_units,avg_material_cost,avg_labor_cost,avg_total_cost,total_spend
2024,7,July,68,10700.45,339.72,11041.86,750846.3
2024,8,August,1601,10674.92,340.49,11030.74,17660211.26
2024,9,September,2035,10689.33,341.0,11048.59,22483889.2
2024,10,October,2375,10643.8,340.32,10999.4,26123578.98
2024,11,November,2095,10752.39,340.28,11106.13,23267334.01
2024,12,December,1822,10801.12,339.85,11160.13,20333764.31
2025,1,January,1935,10867.18,341.22,11219.96,21710630.13
2025,2,February,1717,10896.16,341.44,11251.72,19319202.64
2025,3,March,2249,10933.15,340.81,11289.09,25389169.5
2025,4,April,2216,11015.58,339.92,11369.99,25195906.4
2025,5,May,2262,11056.37,340.49,11414.58,25819786.22
2025,6,June,1864,11149.19,340.48,11506.01,21447204.8
2025,7,July,1597,11141.04,340.24,11490.19,18349840.36
2025,8,August,1523,11189.52,340.76,11546.63,17585513.41
2025,9,September,2155,11250.19,340.09,11604.54,25007784.7
2025,10,October,2210,11317.33,340.55,11674.04,25799633.2
2025,11,November,2039,11353.42,340.44,11709.12,23874899.58
2025,12,December,1880,11380.84,339.49,11733.55,22059071.24
2026,1,January,1959,11516.53,340.98,11873.18,23259550.88
2026,2,February,1721,11464.01,340.82,11817.89,20338580.97
2026,3,March,2332,11528.67,339.91,11885.53,27717053.75
2026,4,April,2162,11585.69,340.17,11942.24,25819133.92
2026,5,May,2171,11636.06,340.18,11995.42,26042052.22
2026,6,June,1997,11696.02,341.1,12054.59,24073023.14
2026,7,July,1645,11788.21,340.12,12146.35,19980746.17
