year,month,month_name,n_defects,total_rework_cost,n_operations,defect_rate_pct
2024,7,July,2,114.58,1360,0.147
2024,8,August,116,24539.61,32020,0.362
2024,9,September,197,37171.63,40700,0.484
2024,10,October,217,36305.77,47500,0.457
2024,11,November,176,28192.76,41900,0.42
2024,12,December,165,34912.99,36440,0.453
2025,1,January,154,22377.49,38700,0.398
2025,2,February,170,24249.33,34340,0.495
2025,3,March,184,34044.8,44980,0.409
2025,4,April,197,32112.68,44320,0.444
2025,5,May,200,40101.43,45240,0.442
2025,6,June,172,30448.31,37280,0.461
2025,7,July,132,14230.99,31940,0.413
2025,8,August,145,24898.56,30460,0.476
2025,9,September,170,30732.54,43100,0.394
2025,10,October,202,35714.96,44200,0.457
2025,11,November,180,31118.22,40780,0.441
2025,12,December,179,24852.22,37600,0.476
2026,1,January,157,30700.09,39180,0.401
2026,2,February,168,22473.96,34420,0.488
2026,3,March,204,39534.47,46640,0.437
2026,4,April,200,35413.98,43240,0.463
2026,5,May,201,41631.39,43420,0.463
2026,6,June,181,34898.66,39940,0.453
2026,7,July,149,29641.01,32900,0.453
