year,month,month_name,avg_availability,avg_performance,avg_quality,avg_oee
2024,7,July,0.9448,0.9912,0.9985,0.9347
2024,8,August,0.9258,0.991,0.9964,0.9139
2024,9,September,0.926,0.9921,0.9954,0.9144
2024,10,October,0.9241,0.991,0.9956,0.9117
2024,11,November,0.9273,0.9916,0.9958,0.9156
2024,12,December,0.9254,0.9909,0.9958,0.9129
2025,1,January,0.922,0.9916,0.9958,0.9106
2025,2,February,0.9244,0.9907,0.9948,0.9112
2025,3,March,0.9255,0.9906,0.996,0.9131
2025,4,April,0.9248,0.9921,0.9957,0.9134
2025,5,May,0.9243,0.992,0.9956,0.9129
2025,6,June,0.922,0.9918,0.9956,0.9105
2025,7,July,0.928,0.9914,0.9958,0.9159
2025,8,August,0.9233,0.99,0.9956,0.9097
2025,9,September,0.9231,0.9921,0.996,0.9121
2025,10,October,0.9283,0.9914,0.9953,0.9159
2025,11,November,0.924,0.9903,0.9955,0.9109
2025,12,December,0.9275,0.9925,0.9955,0.9163
2026,1,January,0.9271,0.9902,0.996,0.9142
2026,2,February,0.9241,0.9914,0.9951,0.9116
2026,3,March,0.9245,0.9915,0.9958,0.9126
2026,4,April,0.9243,0.9919,0.995,0.9121
2026,5,May,0.9275,0.9913,0.9952,0.915
2026,6,June,0.9256,0.9903,0.9956,0.9125
2026,7,July,0.9253,0.991,0.9953,0.9125
