model_name,segment,trim_name,color_name,year,month,month_name,n_units,avg_material_cost,avg_labor_cost,avg_rework_cost,avg_total_cost,sum_total_cost
Jungle Fennec,Hatchback,Base,Arctic White,2024,7,July,3,10027.35,361.91,0.0,10389.26,31167.79
Jungle Fennec,Hatchback,Base,Arctic White,2024,8,August,31,9954.97,339.5,14.62,10309.08,319581.56
Jungle Fennec,Hatchback,Base,Arctic White,2024,9,September,54,10001.05,338.74,5.33,10345.12,558636.52
Jungle Fennec,Hatchback,Base,Arctic White,2024,10,October,66,10042.76,336.33,7.68,10386.76,685526.14
Jungle Fennec,Hatchback,Base,Arctic White,2024,11,November,58,10087.11,340.09,13.15,10440.35,605540.33
Jungle Fennec,Hatchback,Base,Arctic White,2024,12,December,72,10120.61,344.23,14.89,10479.72,754540.03
Jungle Fennec,Hatchback,Base,Arctic White,2025,1,January,47,10173.45,341.68,2.97,10518.11,494350.98
Jungle Fennec,Hatchback,Base,Arctic White,2025,2,February,40,10187.55,344.83,31.6,10563.98,422559.2
Jungle Fennec,Hatchback,Base,Arctic White,2025,3,March,50,10215.07,340.67,11.84,10567.58,528378.95
Jungle Fennec,Hatchback,Base,Arctic White,2025,4,April,58,10270.35,339.46,11.13,10620.94,616014.69
Jungle Fennec,Hatchback,Base,Arctic White,2025,5,May,31,10326.42,340.05,11.58,10678.05,331019.61
Jungle Fennec,Hatchback,Base,Arctic White,2025,6,June,54,10335.45,342.11,30.17,10707.73,578217.16
Jungle Fennec,Hatchback,Base,Arctic White,2025,7,July,35,10394.99,339.49,5.13,10739.61,375886.44
Jungle Fennec,Hatchback,Base,Arctic White,2025,8,August,62,10405.33,340.23,10.64,10756.2,666884.33
Jungle Fennec,Hatchback,Base,Arctic White,2025,9,September,46,10469.68,337.73,10.33,10817.73,497615.61
Jungle Fennec,Hatchback,Base,Arctic White,2025,10,October,55,10484.71,335.73,7.17,10827.61,595518.32
Jungle Fennec,Hatchback,Base,Arctic White,2025,11,November,62,10512.44,338.94,6.13,10857.51,673165.75
Jungle Fennec,Hatchback,Base,Arctic White,2025,12,December,32,10564.36,337.3,3.05,10904.72,348950.89
Jungle Fennec,Hatchback,Base,Arctic White,2026,1,January,47,10609.08,342.32,14.89,10966.29,515415.78
Jungle Fennec,Hatchback,Base,Arctic White,2026,2,February,41,10673.71,339.09,13.27,11026.07,452068.83
Jungle Fennec,Hatchback,Base,Arctic White,2026,3,March,59,10680.5,339.23,54.26,11074.0,653365.82
Jungle Fennec,Hatchback,Base,Arctic White,2026,4,April,40,10706.03,340.78,13.17,11059.98,442399.32
Jungle Fennec,Hatchback,Base,Arctic White,2026,5,May,32,10733.29,337.89,0.25,11071.43,354285.72
Jungle Fennec,Hatchback,Base,Arctic White,2026,6,June,34,10755.38,337.41,20.33,11113.12,377846.08
Jungle Fennec,Hatchback,Base,Arctic White,2026,7,July,29,10829.53,337.03,11.89,11178.45,324174.93
Jungle Fennec,Hatchback,Base,Copper Bronze,2024,8,August,36,9967.57,345.01,4.07,10316.65,371399.24
Jungle Fennec,Hatchback,Base,Copper Bronze,2024,9,September,45,10009.1,338.78,36.79,10384.67,467310.02
Jungle Fennec,Hatchback,Base,Copper Bronze,2024,10,October,49,10032.28,335.84,11.24,10379.35,508588.35
Jungle Fennec,Hatchback,Base,Copper Bronze,2024,11,November,44,10070.5,342.25,12.65,10425.39,458717.36
Jungle Fennec,Hatchback,Base,Copper Bronze,2024,12,December,32,10141.15,342.15,4.55,10487.84,335611.0
Jungle Fennec,Hatchback,Base,Copper Bronze,2025,1,January,58,10136.88,339.1,4.91,10480.89,607891.45
Jungle Fennec,Hatchback,Base,Copper Bronze,2025,2,February,43,10197.39,339.42,25.7,10562.5,454187.63
Jungle Fennec,Hatchback,Base,Copper Bronze,2025,3,March,77,10228.38,343.57,7.59,10579.54,814624.86
Jungle Fennec,Hatchback,Base,Copper Bronze,2025,4,April,54,10268.23,343.01,21.98,10633.23,574194.34
Jungle Fennec,Hatchback,Base,Copper Bronze,2025,5,May,65,10299.69,340.23,8.81,10648.72,692166.93
Jungle Fennec,Hatchback,Base,Copper Bronze,2025,6,June,46,10334.67,343.5,30.23,10708.4,492586.47
Jungle Fennec,Hatchback,Base,Copper Bronze,2025,7,July,30,10375.91,337.85,0.78,10714.55,321436.38
Jungle Fennec,Hatchback,Base,Copper Bronze,2025,8,August,24,10407.8,342.18,25.72,10775.7,258616.77
Jungle Fennec,Hatchback,Base,Copper Bronze,2025,9,September,42,10434.01,342.56,0.17,10776.73,452622.77
Jungle Fennec,Hatchback,Base,Copper Bronze,2025,10,October,65,10503.09,339.97,20.71,10863.77,706144.79
Jungle Fennec,Hatchback,Base,Copper Bronze,2025,11,November,49,10532.99,340.01,25.54,10898.54,534028.24
Jungle Fennec,Hatchback,Base,Copper Bronze,2025,12,December,55,10558.29,336.52,19.76,10914.57,600301.24
Jungle Fennec,Hatchback,Base,Copper Bronze,2026,1,January,48,10601.45,340.91,28.43,10970.78,526597.63
Jungle Fennec,Hatchback,Base,Copper Bronze,2026,2,February,48,10623.62,342.82,10.21,10976.66,526879.55
Jungle Fennec,Hatchback,Base,Copper Bronze,2026,3,March,59,10673.99,341.84,4.01,11019.84,650170.62
Jungle Fennec,Hatchback,Base,Copper Bronze,2026,4,April,50,10707.44,337.62,12.49,11057.55,552877.49
Jungle Fennec,Hatchback,Base,Copper Bronze,2026,5,May,61,10764.59,338.71,25.02,11128.33,678828.14
Jungle Fennec,Hatchback,Base,Copper Bronze,2026,6,June,48,10789.97,341.47,18.96,11150.39,535218.8
Jungle Fennec,Hatchback,Base,Copper Bronze,2026,7,July,20,10853.73,341.11,1.22,11196.06,223921.13
Jungle Fennec,Hatchback,Base,Crimson Red,2024,7,July,4,9891.91,330.48,0.0,10222.4,40889.58
Jungle Fennec,Hatchback,Base,Crimson Red,2024,8,August,29,9975.97,341.13,13.83,10330.93,299596.99
Jungle Fennec,Hatchback,Base,Crimson Red,2024,9,September,54,10015.4,342.61,7.15,10365.16,559718.76
Jungle Fennec,Hatchback,Base,Crimson Red,2024,10,October,59,10041.45,343.7,8.29,10393.44,613213.11
