defect_id,detected_date_id,detected_date,year,month,month_name,part_name,part_category,supplier_name,reliability_score,station_name,station_type,defect_type,severity,resolution,rework_cost,rework_time_minutes
1,20240731,2024-07-31,2024,7,July,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 13,Electrical Assembly,electrical,major,rework,109.6,60.9
2,20240731,2024-07-31,2024,7,July,,,,,Welding - Station 02,Welding,dimensional,minor,rework,4.98,13.2
3,20240801,2024-08-01,2024,8,August,Drive Shaft v4,Powertrain,"Rodriguez, Figueroa and Sanchez",88.0,Powertrain Assembly - Station 07,Powertrain Assembly,functional,minor,rework,541.86,20.7
4,20240801,2024-08-01,2024,8,August,,,,,Welding - Station 02,Welding,dimensional,minor,rework,9.78,25.9
5,20240801,2024-08-01,2024,8,August,Shock Absorber v3,Chassis,Wyatt Inc,85.8,Chassis Assembly - Station 08,Chassis Assembly,assembly,minor,rework,160.8,25.1
6,20240801,2024-08-01,2024,8,August,,,,,Painting - Station 05,Painting,cosmetic,critical,rework,40.33,106.6
7,20240801,2024-08-01,2024,8,August,Headliner v2,Interior,Rhodes PLC,80.3,Interior Assembly - Station 12,Interior Assembly,assembly,minor,accepted_with_deviation,0.99,13.1
8,20240802,2024-08-02,2024,8,August,Grille v2,Exterior,Arnold Ltd,99.0,Exterior Trim - Station 15,Exterior Trim,cosmetic,minor,accepted_with_deviation,1.46,19.3
9,20240802,2024-08-02,2024,8,August,,,,,Welding - Station 03,Welding,dimensional,minor,rework,11.2,29.6
10,20240802,2024-08-02,2024,8,August,Center Console,Interior,Rhodes PLC,80.3,Interior Assembly - Station 12,Interior Assembly,assembly,major,rework,194.52,74.2
11,20240802,2024-08-02,2024,8,August,,,,,Final Assembly - Station 18,Final Assembly,assembly,minor,rework,9.82,26.0
12,20240802,2024-08-02,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 14,Electrical Assembly,electrical,critical,rework,123.15,96.8
13,20240802,2024-08-02,2024,8,August,Electric Motor v6,Powertrain,Wyatt Inc,85.8,Powertrain Assembly - Station 07,Powertrain Assembly,functional,major,rework,677.35,47.0
14,20240802,2024-08-02,2024,8,August,,,,,Painting - Station 05,Painting,cosmetic,minor,rework,10.65,28.2
15,20240803,2024-08-03,2024,8,August,Headliner v2,Interior,Rhodes PLC,80.3,Interior Assembly - Station 10,Interior Assembly,assembly,major,rework,159.91,59.7
16,20240803,2024-08-03,2024,8,August,Headliner v2,Interior,Rhodes PLC,80.3,Interior Assembly - Station 12,Interior Assembly,assembly,major,rework,153.73,43.3
17,20240803,2024-08-03,2024,8,August,Headliner v2,Interior,Rhodes PLC,80.3,Interior Assembly - Station 12,Interior Assembly,assembly,minor,rework,146.34,23.8
18,20240804,2024-08-04,2024,8,August,Electric Motor v6,Powertrain,Wyatt Inc,85.8,Powertrain Assembly - Station 06,Powertrain Assembly,functional,major,accepted_with_deviation,3.35,44.3
19,20240804,2024-08-04,2024,8,August,Backup Camera v6,Safety,Cole LLC,99.0,Safety Systems - Station 17,Safety Systems,functional,critical,accepted_with_deviation,7.55,99.8
20,20240804,2024-08-04,2024,8,August,,,,,Quality Check - Station 19,Quality Check,dimensional,minor,rework,5.57,14.7
21,20240805,2024-08-05,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 14,Electrical Assembly,electrical,critical,rework,134.51,126.8
22,20240805,2024-08-05,2024,8,August,Grille v2,Exterior,Arnold Ltd,99.0,Exterior Trim - Station 16,Exterior Trim,cosmetic,major,rework,128.79,41.3
23,20240806,2024-08-06,2024,8,August,Grille v2,Exterior,Arnold Ltd,99.0,Exterior Trim - Station 15,Exterior Trim,cosmetic,major,rework,135.38,58.7
24,20240806,2024-08-06,2024,8,August,Brake Caliper v4,Chassis,Blair PLC,99.0,Chassis Assembly - Station 08,Chassis Assembly,assembly,minor,rework,165.46,29.3
25,20240806,2024-08-06,2024,8,August,,,,,Painting - Station 04,Painting,cosmetic,minor,rework,4.69,12.4
26,20240806,2024-08-06,2024,8,August,,,,,Welding - Station 03,Welding,dimensional,minor,rework,10.16,26.9
27,20240807,2024-08-07,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 13,Electrical Assembly,electrical,minor,rework,93.84,19.3
28,20240807,2024-08-07,2024,8,August,Grille v2,Exterior,Arnold Ltd,99.0,Exterior Trim - Station 16,Exterior Trim,cosmetic,minor,rework,120.76,20.1
29,20240807,2024-08-07,2024,8,August,Rear Bumper v5,Exterior,Wolfe LLC,91.2,Exterior Trim - Station 15,Exterior Trim,cosmetic,minor,rework,121.72,24.9
30,20240807,2024-08-07,2024,8,August,Electric Motor v6,Powertrain,Wyatt Inc,85.8,Powertrain Assembly - Station 06,Powertrain Assembly,functional,major,rework,680.79,56.1
31,20240807,2024-08-07,2024,8,August,,,,,Welding - Station 01,Welding,dimensional,minor,rework,8.58,22.7
32,20240807,2024-08-07,2024,8,August,Electric Motor v6,Powertrain,Wyatt Inc,85.8,Powertrain Assembly - Station 07,Powertrain Assembly,functional,critical,scrap,2689.8,136.1
33,20240807,2024-08-07,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 13,Electrical Assembly,electrical,minor,rework,91.63,13.5
34,20240808,2024-08-08,2024,8,August,Brake Caliper v4,Chassis,Blair PLC,99.0,Chassis Assembly - Station 08,Chassis Assembly,assembly,minor,rework,160.16,15.3
35,20240808,2024-08-08,2024,8,August,Drive Shaft v4,Powertrain,"Rodriguez, Figueroa and Sanchez",88.0,Powertrain Assembly - Station 07,Powertrain Assembly,functional,minor,rework,544.33,27.2
36,20240808,2024-08-08,2024,8,August,Drive Shaft v4,Powertrain,"Rodriguez, Figueroa and Sanchez",88.0,Powertrain Assembly - Station 07,Powertrain Assembly,functional,minor,rework,540.2,16.3
37,20240808,2024-08-08,2024,8,August,Shock Absorber v3,Chassis,Wyatt Inc,85.8,Chassis Assembly - Station 08,Chassis Assembly,assembly,major,rework,171.56,53.5
38,20240808,2024-08-08,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 14,Electrical Assembly,electrical,minor,rework,92.11,14.7
39,20240808,2024-08-08,2024,8,August,Shock Absorber v3,Chassis,Wyatt Inc,85.8,Chassis Assembly - Station 08,Chassis Assembly,assembly,minor,rework,156.47,13.6
40,20240809,2024-08-09,2024,8,August,,,,,Painting - Station 05,Painting,cosmetic,major,rework,13.39,35.4
41,20240809,2024-08-09,2024,8,August,Electric Motor v6,Powertrain,Wyatt Inc,85.8,Powertrain Assembly - Station 07,Powertrain Assembly,functional,minor,rework,667.25,20.3
42,20240809,2024-08-09,2024,8,August,Headliner v2,Interior,Rhodes PLC,80.3,Interior Assembly - Station 12,Interior Assembly,assembly,minor,rework,143.29,15.7
43,20240811,2024-08-11,2024,8,August,Electric Motor v6,Powertrain,Wyatt Inc,85.8,Powertrain Assembly - Station 07,Powertrain Assembly,functional,major,rework,674.71,40.0
44,20240812,2024-08-12,2024,8,August,,,,,Painting - Station 04,Painting,cosmetic,minor,rework,11.23,29.7
45,20240812,2024-08-12,2024,8,August,Electric Motor v6,Powertrain,Wyatt Inc,85.8,Powertrain Assembly - Station 07,Powertrain Assembly,functional,major,rework,687.23,73.1
46,20240812,2024-08-12,2024,8,August,Rear Bumper v5,Exterior,Wolfe LLC,91.2,Exterior Trim - Station 16,Exterior Trim,cosmetic,minor,rework,118.61,16.6
47,20240812,2024-08-12,2024,8,August,Brake Caliper v4,Chassis,Blair PLC,99.0,Chassis Assembly - Station 08,Chassis Assembly,assembly,critical,rework,207.55,140.6
48,20240812,2024-08-12,2024,8,August,Grille v2,Exterior,Arnold Ltd,99.0,Exterior Trim - Station 15,Exterior Trim,cosmetic,minor,rework,118.4,13.8
49,20240812,2024-08-12,2024,8,August,Shock Absorber v3,Chassis,Wyatt Inc,85.8,Chassis Assembly - Station 08,Chassis Assembly,assembly,major,rework,173.99,59.9
50,20240812,2024-08-12,2024,8,August,Electric Motor v6,Powertrain,Wyatt Inc,85.8,Powertrain Assembly - Station 06,Powertrain Assembly,functional,critical,scrap,2673.19,92.2
51,20240812,2024-08-12,2024,8,August,Drive Shaft v4,Powertrain,"Rodriguez, Figueroa and Sanchez",88.0,Powertrain Assembly - Station 06,Powertrain Assembly,functional,minor,rework,538.98,13.1
52,20240812,2024-08-12,2024,8,August,ECU Module v7,Electrical,"Rodriguez, Figueroa and Sanchez",88.0,Electrical Assembly - Station 13,Electrical Assembly,electrical,minor,rework,47.78,15.5
53,20240812,2024-08-12,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 14,Electrical Assembly,electrical,major,rework,107.68,55.9
54,20240813,2024-08-13,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 13,Electrical Assembly,electrical,major,rework,98.53,31.7
55,20240813,2024-08-13,2024,8,August,Brake Caliper v4,Chassis,Blair PLC,99.0,Chassis Assembly - Station 09,Chassis Assembly,assembly,minor,rework,161.62,19.2
56,20240813,2024-08-13,2024,8,August,,,,,Welding - Station 02,Welding,dimensional,major,rework,15.94,42.1
