station_id,station_name,station_type,full_date,year,month,month_name,n_ops,n_defects,availability,performance,quality,oee
1,Welding - Station 01,Welding,2024-07-31,2024,7,July,68,0,0.9499,0.9723,1.0,0.9236
1,Welding - Station 01,Welding,2024-08-01,2024,8,August,63,0,0.9679,0.9822,1.0,0.9507
1,Welding - Station 01,Welding,2024-08-02,2024,8,August,71,0,0.9781,0.9955,1.0,0.9737
1,Welding - Station 01,Welding,2024-08-03,2024,8,August,22,0,0.9422,1.0429,1.0,0.9826
1,Welding - Station 01,Welding,2024-08-04,2024,8,August,26,0,0.9607,0.9691,1.0,0.9311
1,Welding - Station 01,Welding,2024-08-05,2024,8,August,64,0,0.9935,1.0188,1.0,1.0121
1,Welding - Station 01,Welding,2024-08-06,2024,8,August,71,0,0.9703,1.0147,1.0,0.9846
1,Welding - Station 01,Welding,2024-08-07,2024,8,August,63,1,0.9445,1.0101,0.9841,0.9388
1,Welding - Station 01,Welding,2024-08-08,2024,8,August,56,0,0.9155,1.0145,1.0,0.9288
1,Welding - Station 01,Welding,2024-08-09,2024,8,August,51,0,1.0,0.9927,1.0,0.9927
1,Welding - Station 01,Welding,2024-08-10,2024,8,August,17,0,0.9155,0.9479,1.0,0.8678
1,Welding - Station 01,Welding,2024-08-11,2024,8,August,22,0,1.0,1.0237,1.0,1.0237
1,Welding - Station 01,Welding,2024-08-12,2024,8,August,73,0,0.9755,1.0331,1.0,1.0077
1,Welding - Station 01,Welding,2024-08-13,2024,8,August,77,0,0.9641,1.0206,1.0,0.984
1,Welding - Station 01,Welding,2024-08-14,2024,8,August,72,0,0.9249,0.9975,1.0,0.9226
1,Welding - Station 01,Welding,2024-08-15,2024,8,August,88,2,0.9646,0.9935,0.9773,0.9366
1,Welding - Station 01,Welding,2024-08-16,2024,8,August,64,0,0.9559,1.0166,1.0,0.9717
1,Welding - Station 01,Welding,2024-08-17,2024,8,August,25,0,0.918,1.013,1.0,0.9299
1,Welding - Station 01,Welding,2024-08-18,2024,8,August,20,0,0.9,1.0308,1.0,0.9277
1,Welding - Station 01,Welding,2024-08-19,2024,8,August,57,0,0.993,1.0061,1.0,0.999
1,Welding - Station 01,Welding,2024-08-20,2024,8,August,53,1,0.9678,1.0171,0.9811,0.9658
1,Welding - Station 01,Welding,2024-08-21,2024,8,August,64,0,0.9718,1.014,1.0,0.9854
1,Welding - Station 01,Welding,2024-08-22,2024,8,August,72,0,0.9383,0.9927,1.0,0.9314
1,Welding - Station 01,Welding,2024-08-23,2024,8,August,53,0,0.8988,1.0178,1.0,0.9148
1,Welding - Station 01,Welding,2024-08-24,2024,8,August,19,0,1.0,0.9369,1.0,0.9369
1,Welding - Station 01,Welding,2024-08-25,2024,8,August,21,0,1.0,0.9459,1.0,0.9459
1,Welding - Station 01,Welding,2024-08-26,2024,8,August,66,1,0.9483,0.9725,0.9848,0.9083
1,Welding - Station 01,Welding,2024-08-27,2024,8,August,45,0,0.9469,0.9426,1.0,0.8926
1,Welding - Station 01,Welding,2024-08-28,2024,8,August,69,0,0.9139,1.0239,1.0,0.9358
1,Welding - Station 01,Welding,2024-08-29,2024,8,August,69,0,0.9433,0.9787,1.0,0.9231
1,Welding - Station 01,Welding,2024-08-30,2024,8,August,45,0,0.9475,0.9678,1.0,0.917
1,Welding - Station 01,Welding,2024-08-31,2024,8,August,23,0,1.0,1.0037,1.0,1.0037
1,Welding - Station 01,Welding,2024-09-01,2024,9,September,32,0,0.9136,1.0159,1.0,0.9282
1,Welding - Station 01,Welding,2024-09-02,2024,9,September,81,0,0.9447,0.9884,1.0,0.9338
1,Welding - Station 01,Welding,2024-09-03,2024,9,September,96,2,0.9769,0.9985,0.9792,0.9551
1,Welding - Station 01,Welding,2024-09-04,2024,9,September,92,1,0.9439,1.015,0.9891,0.9477
1,Welding - Station 01,Welding,2024-09-05,2024,9,September,85,3,0.9862,1.0179,0.9647,0.9684
1,Welding - Station 01,Welding,2024-09-06,2024,9,September,77,0,0.9667,1.028,1.0,0.9937
1,Welding - Station 01,Welding,2024-09-07,2024,9,September,31,0,0.9746,1.0007,1.0,0.9753
1,Welding - Station 01,Welding,2024-09-08,2024,9,September,28,0,0.9889,1.0257,1.0,1.0143
1,Welding - Station 01,Welding,2024-09-09,2024,9,September,66,0,0.9537,0.9985,1.0,0.9523
1,Welding - Station 01,Welding,2024-09-10,2024,9,September,103,0,0.9422,0.9961,1.0,0.9385
1,Welding - Station 01,Welding,2024-09-11,2024,9,September,53,0,0.9745,0.9911,1.0,0.9658
1,Welding - Station 01,Welding,2024-09-12,2024,9,September,106,2,0.9842,0.998,0.9811,0.9636
1,Welding - Station 01,Welding,2024-09-13,2024,9,September,90,1,0.9473,0.9847,0.9889,0.9224
1,Welding - Station 01,Welding,2024-09-14,2024,9,September,32,0,0.9472,0.9736,1.0,0.9222
1,Welding - Station 01,Welding,2024-09-15,2024,9,September,28,0,0.8942,0.9735,1.0,0.8705
1,Welding - Station 01,Welding,2024-09-16,2024,9,September,70,0,0.9432,1.0034,1.0,0.9464
