station_id,station_name,station_type,station_sequence_order,full_date,year,month,month_name,is_weekend,n_operations,avg_actual_cycle_time,avg_standard_cycle_time,avg_variance_minutes,total_downtime_minutes,n_downtime_events
1,Welding - Station 01,Welding,1,2024-07-31,2024,7,July,0,68,24.48,23.8,0.68,87.8,3
1,Welding - Station 01,Welding,1,2024-08-01,2024,8,August,0,63,24.23,23.8,0.43,50.6,2
1,Welding - Station 01,Welding,1,2024-08-02,2024,8,August,0,71,23.91,23.8,0.11,38.0,2
1,Welding - Station 01,Welding,1,2024-08-03,2024,8,August,1,22,22.82,23.8,-0.98,30.8,2
1,Welding - Station 01,Welding,1,2024-08-04,2024,8,August,1,26,24.56,23.8,0.76,26.1,1
1,Welding - Station 01,Welding,1,2024-08-05,2024,8,August,0,64,23.36,23.8,-0.44,9.8,1
1,Welding - Station 01,Welding,1,2024-08-06,2024,8,August,0,71,23.46,23.8,-0.34,50.9,2
1,Welding - Station 01,Welding,1,2024-08-07,2024,8,August,0,63,23.56,23.8,-0.24,87.3,2
1,Welding - Station 01,Welding,1,2024-08-08,2024,8,August,0,56,23.46,23.8,-0.34,121.2,4
1,Welding - Station 01,Welding,1,2024-08-09,2024,8,August,0,51,23.98,23.8,0.18,0.0,0
1,Welding - Station 01,Welding,1,2024-08-10,2024,8,August,1,17,25.11,23.8,1.31,39.4,1
1,Welding - Station 01,Welding,1,2024-08-11,2024,8,August,1,22,23.25,23.8,-0.55,0.0,0
1,Welding - Station 01,Welding,1,2024-08-12,2024,8,August,0,73,23.04,23.8,-0.76,42.3,2
1,Welding - Station 01,Welding,1,2024-08-13,2024,8,August,0,77,23.32,23.8,-0.48,66.8,2
1,Welding - Station 01,Welding,1,2024-08-14,2024,8,August,0,72,23.86,23.8,0.06,139.4,4
1,Welding - Station 01,Welding,1,2024-08-15,2024,8,August,0,88,23.96,23.8,0.16,77.3,2
1,Welding - Station 01,Welding,1,2024-08-16,2024,8,August,0,64,23.41,23.8,-0.39,69.2,2
1,Welding - Station 01,Welding,1,2024-08-17,2024,8,August,1,25,23.49,23.8,-0.31,52.5,2
1,Welding - Station 01,Welding,1,2024-08-18,2024,8,August,1,20,23.09,23.8,-0.71,51.3,2
1,Welding - Station 01,Welding,1,2024-08-19,2024,8,August,0,57,23.66,23.8,-0.14,9.5,1
1,Welding - Station 01,Welding,1,2024-08-20,2024,8,August,0,53,23.4,23.8,-0.4,41.2,2
1,Welding - Station 01,Welding,1,2024-08-21,2024,8,August,0,64,23.47,23.8,-0.33,43.6,1
1,Welding - Station 01,Welding,1,2024-08-22,2024,8,August,0,72,23.98,23.8,0.18,113.6,4
1,Welding - Station 01,Welding,1,2024-08-23,2024,8,August,0,53,23.38,23.8,-0.42,139.5,5
1,Welding - Station 01,Welding,1,2024-08-24,2024,8,August,1,19,25.4,23.8,1.6,0.0,0
1,Welding - Station 01,Welding,1,2024-08-25,2024,8,August,1,21,25.16,23.8,1.36,0.0,0
1,Welding - Station 01,Welding,1,2024-08-26,2024,8,August,0,66,24.47,23.8,0.67,88.1,4
1,Welding - Station 01,Welding,1,2024-08-27,2024,8,August,0,45,25.25,23.8,1.45,63.7,3
1,Welding - Station 01,Welding,1,2024-08-28,2024,8,August,0,69,23.24,23.8,-0.56,151.1,6
1,Welding - Station 01,Welding,1,2024-08-29,2024,8,August,0,69,24.32,23.8,0.52,100.9,6
1,Welding - Station 01,Welding,1,2024-08-30,2024,8,August,0,45,24.59,23.8,0.79,61.3,2
1,Welding - Station 01,Welding,1,2024-08-31,2024,8,August,1,23,23.71,23.8,-0.09,0.0,0
1,Welding - Station 01,Welding,1,2024-09-01,2024,9,September,1,32,23.43,23.8,-0.37,70.9,2
1,Welding - Station 01,Welding,1,2024-09-02,2024,9,September,0,81,24.08,23.8,0.28,114.1,5
