unit_id,model_name,segment,engine_type,trim_name,color_name,color_type,upholstery_material,upholstery_color,shift_name,production_start_date,start_year,start_quarter,start_month,start_month_name,production_end_date,total_actual_labor_hours,total_actual_cycle_time_minutes,total_material_cost,total_labor_cost,total_rework_cost,total_cost,final_qc_status
JP-0000001,Jungle Tiger,SUV,2.0L Petrol,Comfort,Midnight Black,Solid,Leather,Beige,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.320833333333335,389.55,10644.79,329.15571666666665,0.0,10973.95,Pass
JP-0000002,Jungle Tiger,SUV,2.0L Petrol,Comfort,Midnight Black,Solid,Leather,Beige,Night,2024-07-31,2024,3,7,July,2024-07-31,6.082833333333334,398.77,10573.64,341.9815291666667,0.0,10915.62,Pass
JP-0000003,Jungle Tiger,SUV,2.0L Petrol,Comfort,Midnight Black,Solid,Leather,Beige,Evening,2024-07-31,2024,3,7,July,2024-07-31,5.836833333333333,389.01,10556.49,302.3942166666667,0.0,10858.88,Pass
JP-0000004,Jungle Tiger,SUV,2.0L Petrol,Comfort,Copper Bronze,Pearl,Leather,Beige,Evening,2024-07-31,2024,3,7,July,2024-07-31,5.8981666666666674,446.59,10653.07,311.52935,109.6,11074.2,Rework
JP-0000005,Jungle Tiger,SUV,2.0L Petrol,Comfort,Copper Bronze,Pearl,Leather,Beige,Morning,2024-07-31,2024,3,7,July,2024-07-31,5.813666666666668,362.62,10654.42,344.5331458333333,0.0,10998.95,Pass
JP-0000006,Jungle Tiger,SUV,2.0L Petrol,Comfort,Copper Bronze,Pearl,Leather,Beige,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.3575,381.45,10656.27,355.29065,0.0,11011.56,Pass
JP-0000007,Jungle Tiger,SUV,2.0L Petrol,Luxury,Midnight Black,Solid,Leather,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.221333333333334,381.88,11846.35,325.3992,0.0,12171.75,Pass
JP-0000008,Jungle Tiger,SUV,2.0L Petrol,Luxury,Midnight Black,Solid,Leather,Black,Night,2024-07-31,2024,3,7,July,2024-07-31,6.4673333333333325,472.94,11916.96,334.19160416666665,0.0,12251.15,Pass
JP-0000009,Jungle Fennec,Hatchback,1.4L Petrol,Base,Ocean Blue,Metallic,Fabric,Black,Evening,2024-07-31,2024,3,7,July,2024-07-31,6.276666666666666,393.6,10025.98,331.09756666666664,0.0,10357.08,Pass
JP-0000010,Jungle Lynx,Sedan,1.6L Diesel,Base,Ocean Blue,Metallic,Leather,Black,Evening,2024-07-31,2024,3,7,July,2024-07-31,6.128333333333333,373.1,10440.63,339.04187083333335,0.0,10779.67,Pass
